"Title: State Data and Policy Actions to Address Coronavirus | KFF"
"Timeframe: Varies"
"Location","Waive Cost Sharing for COVID-19 Treatment","Free Cost Vaccine When Available","State Requires Waiver of Prior Authorization Requirements*","Early Prescription Refills","Premium Payment Grace Period","Expands Access to Telehealth Services","Marketplace Special Enrollment Period (SEP)","Section 1135 Waiver","Paid Sick Leave",Footnotes
"United States","State Requires (3); State-Insurer Agreement (3); No Action (45)","State Requires (9); State-Insurer Agreement (1); No Action (41)","For COVID-19 Testing (5); For COVID-19 Testing and Treatment (6); No Action (40)","State Requires (16); Expired (2); No Action (33)","Grace Period Extended for All Policies (2); Grace Period Extended for All Individual Policies (1); Grace Period Extended for COVID-19 Diagnosis/Impacts Only (3); Expired (11); No Action (34)","Yes (38); Expired (1); No (12)","Active (3); Ended (9); No (39)","Approved (51); No Action (0)","Enacted (13); Proposed (1); No action (37)"
"Alabama","-","-","-","-","-","-","-","Approved","-","1"
"Alaska","-","-","-","State Requires","Expired","Yes","-","Approved","-"
"Arizona","-","-","-","-","-","Yes","-","Approved","Enacted"
"Arkansas","-","-","-","-","COVID-19 Diagnosis/Impacts Only","Yes","-","Approved","-"
"California","-","-","-","State Requires","-","Yes","Active","Approved","Enacted"
"Colorado","-","-","-","State Requires","-","Yes","Ended","Approved","Enacted"
"Connecticut","-","-","-","-","Expired","Yes","Ended","Approved","Enacted"
"Delaware","-","-","For COVID-19 Testing and Treatment","State Requires","Expired","Yes","-","Approved","-"
"District of Columbia","State Requires","State Requires","For COVID-19 Testing and Treatment","State Requires","-","Yes","Active","Approved","Enacted","2, 3"
"Florida","-","-","-","State Requires","-","-","-","Approved","-"
"Georgia","-","-","-","State Requires","Expired","-","-","Approved","-"
"Hawaii","-","-","-","-","-","Yes","-","Approved","-"
"Idaho","State-Insurer Agreement","-","-","-","-","Yes","-","Approved","-"
"Illinois","-","-","-","-","All Policies","Yes","-","Approved","-"
"Indiana","-","-","-","-","-","Yes","-","Approved","-"
"Iowa","-","-","-","-","-","Yes","-","Approved","-"
"Kansas","-","-","-","-","-","Yes","-","Approved","-"
"Kentucky","-","State Requires","For COVID-19 Testing","State Requires","-","Yes","-","Approved","Proposed - March 2020"
