"Title: State Data and Policy Actions to Address Coronavirus | KFF"
"Timeframe: as of June 1, 2020"
"Location","Visitation","Screening","Personal Protective Equipment",Footnotes
"Alabama","Prohibit","Require","Require","1"
"Alaska","Recommend prohibit","Recommend","Recommend","2"
"Arizona","Recommend prohibit","Require","Require"
"Arkansas","Prohibit","Require","Recommend"
"California","Prohibit","Recommend","Require"
"Colorado","Prohibit","Require","Require","1"
"Connecticut","No guidance","No guidance","Recommend"
"Delaware","Recommend prohibit","Recommend","Recommend","3"
"District of Columbia","Prohibit","Require","Require","1"
"Florida","Prohibit","Require","Require","1"
"Georgia","Prohibit","Require","Require","1"
"Hawaii","Recommend prohibit","Recommend","Recommend"
"Idaho","Prohibit","Recommend","Recommend"
"Illinois","Recommend restrict","Require","Require"
"Indiana","Recommend prohibit","Recommend","Recommend"
"Iowa","Recommend prohibit","Require","Recommend"
"Kansas","Recommend prohibit","Recommend","Recommend"
"Kentucky","Recommend prohibit","Recommend","Recommend"
"Louisiana","Prohibit","Recommend","Recommend","2"
"Maine","Recommend prohibit","Recommend","Recommend"
"Maryland","Recommend prohibit","Recommend","Recommend"
"Massachusetts","Prohibit","Recommend","Recommend"
"Michigan","Prohibit","Require","Require","1"
"Minnesota","Recommend prohibit","Recommend","Recommend"
"Mississippi","Prohibit","No guidance","Recommend"
"Missouri","Prohibit","Require","Require","1"
"Montana","Prohibit","Require","No guidance"
"Nebraska","Prohibit","No guidance","Recommend"
"Nevada","Recommend prohibit","Recommend","Recommend","4"
"New Hampshire","Prohibit","Recommend","Require"
"New Jersey","Recommend prohibit","Recommend","Require"
"New Mexico","Prohibit","Recommend","Require"
"New York","Prohibit","Require","Require","1"
"North Carolina","Recommend prohibit","Recommend","Require"
"North Dakota","Recommend prohibit","Recommend","Recommend"
"Ohio","Prohibit","Recommend","No guidance","5"
"Oklahoma","Prohibit","Recommend","No guidance"
"Oregon","Prohibit","Require","No guidance"
"Pennsylvania","Recommend prohibit","Recommend","Recommend"
"Rhode Island","Prohibit","No guidance","No guidance"
"South Carolina","Prohibit","Recommend","Recommend"
"South Dakota","No guidance","No guidance","No guidance"
"Tennessee","Prohibit","Recommend","Recommend","6"
"Texas","Prohibit","Require","Require","1"
"Utah","Recommend prohibit","No guidance","Recommend"
"Vermont","Recommend prohibit","Require","Recommend"
"Virginia","Prohibit","Require","Require","1"
"Washington","Prohibit","Require","Recommend"
"West Virginia","Recommend prohibit","Recommend","Recommend"
"Wisconsin","Recommend prohibit","Recommend","No guidance"
"Wyoming","Recommend prohibit","Recommend","Recommend"
