"Title: State Data and Policy Actions to Address Coronavirus | KFF"
"Timeframe: Varies"
"Location","Status of Reopening","Stay at Home Order","Mandatory Quarantine for Travelers","Non-Essential Business Closures","Large Gatherings Ban","Restaurant Limits","Bar Closures","Face Covering Requirement","Emergency Declaration",Footnotes
"United States","Proceeding (19); Paused (4); New Restrictions Imposed (22); Reopened (6)","Original Stay at Home Order in Place (1); Stay at Home Order Eased or Lifted (44); No Action (6)","Original Traveler Quarantine Mandate in Place (5); New Traveler Quarantine Mandate in Place (4); Traveler Quarantine Mandate Eased or Lifted (20); No Action (22)","Some or All Non-Essential Businesses Permitted to Reopen (41); New Business Closures or Limits (5); No Action (5)","Original Gathering Ban/Limit in Place (3); Gathering Ban/Limit Expanded or Lifted (31); New Gathering Ban/Limit in Place (17)","Reopened to Dine-in Service (40), New Service Limits (10), No Action (1)","Closed (8); Reopened (27); Newly Closed (4); New Service Limits (12)","Required for General Public (34); Required for Certain Employees (8); Allows Local Officals to Require for General Public (6); No Action (5)","Yes (51); No (0)","1"
"Alabama","Paused","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Reopened to Dine-in Service","Reopened","Required for General Public","Yes"
"Alaska","Proceeding with Reopening","Lifted","All Travelers","All Non-Essential Businesses Permitted to Reopen","Lifted","Reopened to Dine-in Service","Reopened","Required for Certain Employees","Yes","2"
"Arizona","New Restrictions Imposed","Lifted","Lifted","New Business Closures or Limits","New Limit on Large Gatherings in Place","New Service Limits","Newly Closed","Required for Certain Employees; Allows Local Officials to Require for General Public","Yes"
"Arkansas","Paused","-","Lifted","-","Lifted","Reopened to Dine-in Service with Capacity Limits","Reopened","Required for General Public","Yes"
"California","Proceeding with Reopening","Statewide","-","New Business Closures or Limits","All Gatherings Prohibited","Reopened to Dine-in Service with Capacity Limits","Newly Closed","Required for General Public","Yes","3"
"Colorado","New Restrictions Imposed","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded Limit to 25 or Fewer","Reopened to Dine-in Service with Capacity Limits","Newly Closed","Required for General Public","Yes","4"
"Connecticut","Proceeding with Reopening","Lifted","From Certain States (New)","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded Limit to 25 or Fewer","Reopened to Dine-in Service with Capacity Limits","Closed","Required for General Public","Yes","5, 6"
"Delaware","Proceeding with Reopening","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded Limit to Greater Than 25","Reopened to Dine-in Service with Capacity Limits","Reopened","Required for General Public","Yes"
"District of Columbia","Proceeding with Reopening","Lifted","From Certain States (New)","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded Limit to Greater Than 25","Reopened to Dine-in Service with Capacity Limits","Closed","Required for General Public","Yes"
"Florida","Proceeding with Reopening","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen","Lifted","Reopened to Dine-in Service","Reopened","Required for Certain Employees","Yes"
"Georgia","Proceeding with Reopening","Rolled Back to High Risk Groups","-","All Non-Essential Businesses Permitted to Reopen","Expanded Limit to Greater Than 25","Reopened to Dine-in Service","Reopened","Required for Certain Employees; Allows Local Officials to Require for General Public","Yes"
"Hawaii","New Restrictions Imposed","Lifted","All Travelers","Some Non-Essential Businesses Permitted to Reopen","New Limit on Large Gatherings in Place","New Service Limits","New Service Limits","Required for General Public","Yes","7, 8"
"Idaho","New Restrictions Imposed","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen","New Limit on Large Gatherings in Place","New Service Limits","New Service Limits","-","Yes","9"
"Illinois","New Restrictions Imposed","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","New Limit on Large Gatherings in Place","New Service Limits","New Service Limits","Required for General Public","Yes","10"
"Indiana","Reopened","Lifted","-","All Non-Essential Businesses Permitted to Reopen","Lifted","Reopened to Dine-in Service","Reopened","Required for General Public","Yes","11"
"Iowa","Reopened","-","-","All Non-Essential Businesses Permitted to Reopen","Expanded Limit to Greater Than 25","Reopened to Dine-in Service","Reopened","Allows Local Officials to Require for General Public","Yes","12"
"Kansas","Reopened","Lifted","From Certain States","All Non-Essential Businesses Permitted to Reopen","Lifted","Reopened to Dine-in Service","Reopened","Required for General Public","Yes","13"
