,Date,State,Location,Stay at Home Order_-,Stay at Home Order_High-Risk Groups,Stay at Home Order_Lifted,Stay at Home Order_Rolled Back to High Risk Groups,Stay at Home Order_Statewide,Mandatory Quarantine for Travelers_-,Mandatory Quarantine for Travelers_All Air Travelers,Mandatory Quarantine for Travelers_All Travelers,Mandatory Quarantine for Travelers_From Certain States,Mandatory Quarantine for Travelers_Lifted,Mandatory Quarantine for Travelers_Rolled Back to Certain States,Mandatory Quarantine for Travelers_Rolled Back to International Travel,Non-Essential Business Closures_-,Non-Essential Business Closures_All Non-Essential Businesses Permitted to Reopen,Non-Essential Business Closures_All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Non-Essential Business Closures_Some Non-Essential Businesses Permitted to Reopen,Non-Essential Business Closures_Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Large Gatherings Ban_-,Large Gatherings Ban_>10 People Prohibited,Large Gatherings Ban_All Gatherings Prohibited,Large Gatherings Ban_Expanded to New Limit Above 25,Large Gatherings Ban_Expanded to New Limit Below 25,Large Gatherings Ban_Expanded to New Limit of 25,Large Gatherings Ban_Lifted,Large Gatherings Ban_Other,Restaurant Limits_-,Restaurant Limits_Closed Except for Takeout/Delivery,Restaurant Limits_Limited Dine-in Service,Restaurant Limits_Reopened to Dine-in Service,Restaurant Limits_Reopened to Dine-in Service ,Restaurant Limits_Reopened to Dine-in Service with Capacity Limits,Emergency Declaration_Yes,Non-Essential Business Closures_All Non-Essential Businesses Permitted to Reopen ,Mandatory Quarantine for Travelers_From Certain States (New),Non-Essential Business Closures_New Business Closures or Limits,Large Gatherings Ban_New Limit on Large Gatherings in Place,Restaurant Limits_Newly Closed to Dine-in Service,Restaurant Limits_New Capacity Limits,Restaurant Limits_New Service Limits,Large Gatherings Ban_Expanded to New Limit of 25 or Fewer,Stay at Home Order_New Stay at Home Order,Large Gatherings Ban_Expanded Limit to 25 or Fewer,Large Gatherings Ban_Expanded Limit to Greater Than 25,Mandatory Quarantine for Travelers_All Travelers (New)
0,2020-06-04,AK,Alaska,0,0.0,1,0,0,0,0.0,1,0,0,0,0,0,1,0,0,0,0.0,0,0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0,1,0,1,,,,,,,,,,,,
1,2020-06-04,AZ,Arizona,0,0.0,1,0,0,0,0.0,0,0,1,0,0,0,0,1,0,0,0.0,0,0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
2,2020-06-04,AR,Arkansas,1,0.0,0,0,0,0,0.0,0,1,0,0,0,1,0,0,0,0,0.0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
3,2020-06-04,CA,California,0,0.0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,1,0.0,0,1,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0,0,0,1,,,,,,,,,,,,
4,2020-06-04,CO,Colorado,0,0.0,0,1,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
5,2020-06-04,CT,Connecticut,0,0.0,1,0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
6,2020-06-04,DE,Delaware,0,0.0,1,0,0,0,0.0,0,0,1,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
7,2020-06-04,DC,District of Columbia,0,0.0,1,0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
8,2020-06-04,FL,Florida,0,0.0,1,0,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0.0,0,0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
9,2020-06-04,GA,Georgia,0,0.0,0,1,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
10,2020-06-04,HI,Hawaii,0,0.0,0,0,1,0,0.0,1,0,0,0,0,0,0,0,1,0,0.0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,1.0,0,0,0,1,,,,,,,,,,,,
11,2020-06-04,ID,Idaho,0,0.0,1,0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0.0,0,0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
12,2020-06-04,IL,Illinois,0,0.0,1,0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,1.0,0.0,0,0.0,0,1.0,0.0,0,0,0,1,,,,,,,,,,,,
13,2020-06-04,IN,Indiana,0,0.0,1,0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,1.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
14,2020-06-04,IA,Iowa,1,0.0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,1.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
15,2020-06-04,KS,Kansas,0,0.0,1,0,0,0,0.0,0,1,0,0,0,0,1,0,0,0,0.0,0,0,0.0,1.0,0.0,0,0.0,0,0.0,1.0,0,0,0,1,,,,,,,,,,,,
16,2020-06-04,KY,Kentucky,0,0.0,1,0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0.0,0,0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
17,2020-06-04,LA,Louisiana,0,0.0,1,0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
18,2020-06-04,ME,Maine,0,0.0,0,0,1,0,0.0,1,0,0,0,0,0,0,0,1,0,0.0,0,0,1.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
19,2020-06-04,MD,Maryland,0,0.0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
20,2020-06-04,MA,Massachusetts,0,0.0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0.0,1,0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0,0,0,1,,,,,,,,,,,,
21,2020-06-04,MI,Michigan,0,0.0,1,0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,1.0,0.0,0.0,0,0.0,0,1.0,0.0,0,0,0,1,,,,,,,,,,,,
22,2020-06-04,MN,Minnesota,0,0.0,1,0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0.0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
23,2020-06-04,MS,Mississippi,0,0.0,1,0,0,1,0.0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
24,2020-06-04,MO,Missouri,0,0.0,1,0,0,1,0.0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,1,0,0,1,,,,,,,,,,,,
25,2020-06-04,MT,Montana,0,0.0,1,0,0,0,0.0,0,0,1,0,0,0,0,1,0,0,0.0,0,0,1.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
26,2020-06-04,NE,Nebraska,1,0.0,0,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
27,2020-06-04,NV,Nevada,0,0.0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
28,2020-06-04,NH,New Hampshire,0,0.0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
29,2020-06-04,NJ,New Jersey,0,0.0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,1.0,0.0,0,0.0,0,1.0,0.0,0,0,0,1,,,,,,,,,,,,
30,2020-06-04,NM,New Mexico,0,0.0,0,0,1,0,1.0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,1.0,0.0,0,0.0,0,1.0,0.0,0,0,0,1,,,,,,,,,,,,
31,2020-06-04,NY,New York,0,0.0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,1.0,0.0,0,0.0,0,1.0,0.0,0,0,0,1,,,,,,,,,,,,
32,2020-06-04,NC,North Carolina,0,0.0,1,0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
33,2020-06-04,ND,North Dakota,1,0.0,0,0,0,0,0.0,1,0,0,0,0,0,1,0,0,0,1.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1,0,0,1,,,,,,,,,,,,
34,2020-06-04,OH,Ohio,0,0.0,1,0,0,0,0.0,0,0,1,0,0,0,0,0,0,1,0.0,0,0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
35,2020-06-04,OK,Oklahoma,0,1.0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
36,2020-06-04,OR,Oregon,0,0.0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,1,0,0,1,,,,,,,,,,,,
37,2020-06-04,PA,Pennsylvania,0,0.0,1,0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0.0,0,0,0,1,,,,,,,,,,,,
38,2020-06-04,RI,Rhode Island,0,0.0,1,0,0,0,0.0,0,0,0,1,0,0,0,0,0,1,0.0,0,0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
39,2020-06-04,SC,South Carolina,0,0.0,1,0,0,0,0.0,0,0,1,0,0,0,1,0,0,0,0.0,0,1,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
40,2020-06-04,SD,South Dakota,1,0.0,0,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0,0,0,1,,,,,,,,,,,,
41,2020-06-04,TN,Tennessee,0,0.0,1,0,0,1,0.0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,1.0,0.0,0.0,0,0.0,0,0.0,0.0,1,0,0,1,,,,,,,,,,,,
42,2020-06-04,TX,Texas,0,0.0,1,0,0,0,0.0,0,0,1,0,0,0,0,1,0,0,0.0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
43,2020-06-04,UT,Utah,0,0.0,1,0,0,0,0.0,0,0,1,0,0,1,0,0,0,0,0.0,0,0,1.0,0.0,0.0,0,0.0,0,0.0,0.0,1,0,0,1,,,,,,,,,,,,
44,2020-06-04,VT,Vermont,0,0.0,0,0,1,0,0.0,1,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
45,2020-06-04,VA,Virginia,0,0.0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
46,2020-06-04,WA,Washington,0,0.0,1,0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0.0,0.0,0,1.0,0,1.0,0.0,0,0,0,1,,,,,,,,,,,,
47,2020-06-04,WV,West Virginia,0,0.0,1,0,0,0,0.0,0,0,1,0,0,0,0,0,0,1,0.0,0,0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
48,2020-06-04,WI,Wisconsin,0,0.0,1,0,0,1,0.0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,1,0,0,1,,,,,,,,,,,,
49,2020-06-04,WY,Wyoming,1,0.0,0,0,0,0,0.0,0,0,1,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0,1,0,1,,,,,,,,,,,,
0,2020-06-05,AL,Alabama,0,0.0,1,0,0,1,0.0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,1,0,0,1,,,,,,,,,,,,
1,2020-06-05,AK,Alaska,0,0.0,1,0,0,0,0.0,1,0,0,0,0,0,1,0,0,0,0.0,0,0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0,1,0,1,,,,,,,,,,,,
2,2020-06-05,AZ,Arizona,0,0.0,1,0,0,0,0.0,0,0,1,0,0,0,0,1,0,0,0.0,0,0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
3,2020-06-05,AR,Arkansas,1,0.0,0,0,0,0,0.0,0,1,0,0,0,1,0,0,0,0,0.0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
4,2020-06-05,CA,California,0,0.0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,1,0.0,0,1,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0,0,0,1,,,,,,,,,,,,
5,2020-06-05,CO,Colorado,0,0.0,0,1,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
6,2020-06-05,CT,Connecticut,0,0.0,1,0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
7,2020-06-05,DE,Delaware,0,0.0,1,0,0,0,0.0,0,0,1,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
8,2020-06-05,DC,District of Columbia,0,0.0,1,0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
9,2020-06-05,FL,Florida,0,0.0,1,0,0,0,0.0,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
10,2020-06-05,GA,Georgia,0,0.0,0,1,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
11,2020-06-05,HI,Hawaii,0,0.0,0,0,1,0,0.0,1,0,0,0,0,0,0,0,1,0,0.0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,1.0,0,0,0,1,,,,,,,,,,,,
12,2020-06-05,ID,Idaho,0,0.0,1,0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0.0,0,0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
13,2020-06-05,IL,Illinois,0,0.0,1,0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,1.0,0.0,0,0.0,0,1.0,0.0,0,0,0,1,,,,,,,,,,,,
14,2020-06-05,IN,Indiana,0,0.0,1,0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,1.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
15,2020-06-05,IA,Iowa,1,0.0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,1.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
16,2020-06-05,KS,Kansas,0,0.0,1,0,0,0,0.0,0,1,0,0,0,0,1,0,0,0,0.0,0,0,0.0,1.0,0.0,0,0.0,0,0.0,1.0,0,0,0,1,,,,,,,,,,,,
17,2020-06-05,KY,Kentucky,0,0.0,1,0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0.0,0,0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
18,2020-06-05,LA,Louisiana,0,0.0,1,0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
19,2020-06-05,ME,Maine,0,0.0,0,0,1,0,0.0,1,0,0,0,0,0,0,0,1,0,0.0,0,0,1.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
20,2020-06-05,MD,Maryland,0,0.0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
21,2020-06-05,MA,Massachusetts,0,0.0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0.0,1,0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0,0,0,1,,,,,,,,,,,,
22,2020-06-05,MI,Michigan,0,0.0,1,0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,1.0,0.0,0.0,0,0.0,0,1.0,0.0,0,0,0,1,,,,,,,,,,,,
23,2020-06-05,MN,Minnesota,0,0.0,1,0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0.0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
24,2020-06-05,MS,Mississippi,0,0.0,1,0,0,1,0.0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
25,2020-06-05,MO,Missouri,0,0.0,1,0,0,1,0.0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,1,0,0,1,,,,,,,,,,,,
26,2020-06-05,MT,Montana,0,0.0,1,0,0,0,0.0,0,0,1,0,0,0,0,1,0,0,0.0,0,0,1.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
27,2020-06-05,NE,Nebraska,1,0.0,0,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
28,2020-06-05,NV,Nevada,0,0.0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
29,2020-06-05,NH,New Hampshire,0,0.0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
30,2020-06-05,NJ,New Jersey,0,0.0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,1.0,0.0,0,0.0,0,1.0,0.0,0,0,0,1,,,,,,,,,,,,
31,2020-06-05,NM,New Mexico,0,0.0,0,0,1,0,1.0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,1.0,0.0,0,0.0,0,1.0,0.0,0,0,0,1,,,,,,,,,,,,
32,2020-06-05,NY,New York,0,0.0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,1.0,0.0,0,0.0,0,1.0,0.0,0,0,0,1,,,,,,,,,,,,
33,2020-06-05,NC,North Carolina,0,0.0,1,0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,,,,,,,,,,,,
