FIPS,state,county_name,NCHS_urbanization,total_population,num_beds,confirmed,deaths,beds_per_1000,confirmed_per_1000,deaths_per_1000,over_65_percent,female_percent,med_income,per_capita_income,owner_occupied_percent,no_diploma_percent,no_insurance_percent,unemployed_percent,poverty_percent,confirmed_quartile,deaths_quartile,2018_rank_in_state_per_capita_income,2016_per_capita_income,2017_per_capita_income,2017_per_capita_income_percent_change,2018_per_capita_income_percent_change,rank_in_state_2018_per_capita_income_percent_change,confirmed_per_100000,deaths_per_100000
2020,Alaska,Anchorage,Medium metro,296112,753.0,3297,25,2.542956719079267,11.134300534932727,0.08442751391365429,10.0,49.0,82113.0,66510,60.9,7.4656,16.7,5.8,7.2,1,1,10,62172,63173,1.6,5.3,12,1113.43,8.44
2100,Alaska,Haines,Non-core,2518,57.0,4,0,22.637013502779986,1.5885623510722797,0.0,22.1,50.6,58943.0,67059,67.4,4.2644,24.5,7.4,10.3,0,0,9,57423,62478,8.8,7.3,3,158.86,0.0
2122,Alaska,Kenai Peninsula,Non-core,58220,109.0,422,2,1.8722088629336997,7.248368258330471,0.034352456200618345,17.4,47.9,65439.0,52015,73.3,6.7269,20.9,7.6,12,1,0,21,49544,49697,0.3,4.7,15,724.84,3.44
2090,Alaska,Fairbanks North Star,Small metro,99653,212.0,755,9,2.1273820155941117,7.576289725346953,0.090313387454467,10.3,46.1,74268.0,56606,58.5,6.6466,16.6,6.0,8.5,1,1,19,52803,53974,2.2,4.9,14,757.63,9.03
2170,Alaska,Matanuska-Susitna,Medium metro,103464,109.0,511,2,1.0535065336735483,4.9389159514420475,0.019330395113276114,,,74649.0,45897,,7.5064,18.5,8.2,9.5,0,0,26,44520,44043,-1.1,4.2,18,493.89,1.93
2050,Alaska,Bethel,Non-core,18040,34.0,71,1,1.8847006651884701,3.93569844789357,0.05543237250554324,7.7,48.5,44304.0,43500,61.1,19.8098,26.0,14.9,25.5,0,1,28,41168,42134,2.3,3.2,24,393.57,5.54
1015,Alabama,Calhoun,Small metro,115098,412.0,2593,31,3.5795582894576796,22.528627778067385,0.26933569653686423,17.7,51.9,45400.0,37120,69.5,19.9245,14.2,4.8,17.1,3,2,26,34774,35721,2.7,3.9,48,2252.86,26.93
1039,Alabama,Covington,Non-core,37351,142.0,817,25,3.801772375572274,21.873577681989772,0.6693261224599074,21.1,51.6,40203.0,35651,74.0,20.0166,15.4,5.4,19.6,3,3,38,33014,34393,4.2,3.7,54,2187.36,66.93
1083,Alabama,Limestone,Medium metro,93052,66.0,1706,18,0.7092808322228431,18.333834845032882,0.1934402269698663,15.2,49.9,64863.0,42546,78.0,17.3949,14.4,3.8,12.8,2,1,7,39102,40845,4.5,4.2,38,1833.38,19.34
1053,Alabama,Escambia,Non-core,37328,95.0,1257,22,2.545006429489927,33.67445349335619,0.589369909987141,17.9,49.3,38418.0,32996,68.8,21.449,17.0,4.7,23.3,3,3,55,30404,31641,4.1,4.3,33,3367.45,58.94
1101,Alabama,Montgomery,Medium metro,226941,857.0,7956,163,3.7763119048563283,35.05757002921464,0.718248355299395,15.1,52.8,49640.0,43688,58.6,15.0406,13.9,4.1,18.8,3,3,5,41388,42211,2.0,3.5,57,3505.76,71.82
1007,Alabama,Bibb,Large fringe metro,22527,156.0,557,6,6.925023305366893,24.72588449416256,0.26634705020641897,16.5,46.8,46064.0,30254,75.1,22.1004,13.6,4.2,20.1,3,2,66,28799,29081,1.0,4.0,43,2472.59,26.63
1073,Alabama,Jefferson,Large central metro,659892,3613.0,16703,305,5.475138355973401,25.311717675013487,0.4621968443321028,15.9,52.7,55013.0,54730,62.8,12.2569,12.6,4.1,15.3,3,2,1,49573,52128,5.2,5.0,8,2531.17,46.22
1091,Alabama,Marengo,Non-core,19538,57.0,645,18,2.9173917494114034,33.01259084860272,0.9212816050772853,19.6,53.1,37733.0,39801,71.2,15.6709,13.3,5.5,25.8,3,3,15,36650,37447,2.2,6.3,3,3301.26,92.13
1011,Alabama,Bullock,Non-core,10352,54.0,545,13,5.216383307573415,52.6468315301391,1.2557959814528594,16.4,45.5,29267.0,28797,75.5,34.4776,17.3,4.3,32.6,3,3,67,26655,27442,3.0,4.9,10,5264.68,125.58
1087,Alabama,Macon,Non-core,19054,0.0,412,17,0.0,21.622756376613836,0.89220111262727,20.4,54.5,32495.0,32919,65.7,18.6851,13.0,5.4,30,3,3,56,30568,31372,2.6,4.9,11,2162.28,89.22
1019,Alabama,Cherokee,Non-core,25853,45.0,367,11,1.7406103740378291,14.195644606041851,0.4254825358759138,23.0,50.5,42132.0,35505,79.0,20.5041,14.6,3.7,16.8,2,2,39,32826,33852,3.1,4.9,12,1419.56,42.55
1121,Alabama,Talladega,Micropolitan,80565,325.0,1312,21,4.034009805746913,16.28498727735369,0.26065909514056973,18.0,51.7,41630.0,34718,71.3,20.3535,13.5,4.8,18,2,2,46,32487,33282,2.4,4.3,31,1628.5,26.07
1027,Alabama,Clay,Non-core,13378,129.0,401,6,9.642696965166692,29.97458513978173,0.44849753326356706,20.7,51.1,39201.0,33530,72.4,25.1351,17.8,4.1,18.9,3,2,50,31149,32017,2.8,4.7,15,2997.46,44.85
1123,Alabama,Tallapoosa,Non-core,40636,136.0,942,82,3.346786100994192,23.18141549365095,2.017915149128851,21.6,51.5,42205.0,40696,72.8,19.695,14.3,3.8,20.2,3,3,11,38205,38829,1.6,4.8,14,2318.14,201.79
1041,Alabama,Crenshaw,Non-core,13865,49.0,401,31,3.534078615218175,28.9217454020916,2.235845654525784,19.0,51.7,39057.0,36645,73.8,23.1447,16.3,4.2,20.5,3,3,28,34405,35823,4.1,2.3,63,2892.17,223.58
1089,Alabama,Madison,Medium metro,357560,1095.0,6592,57,3.062423089831077,18.43606667412462,0.15941380467613828,15.0,51.1,63755.0,51445,67.2,9.9121,12.5,3.7,13.5,2,1,3,48026,49158,2.4,4.7,18,1843.61,15.94
1043,Alabama,Cullman,Micropolitan,82313,145.0,1480,15,1.761568646507842,17.98014894366625,0.1822312392939147,18.5,50.6,45796.0,39607,74.6,18.4525,16.4,3.5,14.9,2,1,16,36649,38158,4.1,3.8,51,1798.01,18.22
1045,Alabama,Dale,Micropolitan,49255,666.0,1030,42,13.52146990153284,20.911582580448684,0.8527053091056745,16.9,50.9,45309.0,36613,60.2,15.2797,13.8,4.2,20.6,3,3,29,34492,35200,2.1,4.0,45,2091.16,85.27
1125,Alabama,Tuscaloosa,Small metro,206213,827.0,5352,94,4.010416414096104,25.95374685398108,0.4558393505744061,13.3,51.9,52557.0,38822,63.2,12.9929,12.2,4.0,17.6,3,2,19,36143,37157,2.8,4.5,21,2595.37,45.58
1103,Alabama,Morgan,Small metro,119122,450.0,2891,22,3.777639730696261,24.269236580984202,0.18468460905626166,17.5,50.7,52797.0,39991,72.1,18.1391,16.1,3.9,15.8,3,1,14,37173,38289,3.0,4.4,23,2426.92,18.47
